Namespace(withAug=True, AugDirect=20, method_name='Cheb', seed=100, GPUdevice=0, IsDirectedData=False, dataset='cora_ml/', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
CUDA Device Index: 0
excel_file_path is  TrueAug_Cheb_Cora_output.xlsx
12-19-22:44:05
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
split:  0
ChebModelBen(
  (conv1): ChebConv(1433, 2, K=2, normalization=sym)
  (conv2): ChebConv(2, 2, K=2, normalization=sym)
  (Conv): Conv1d(2, 7, kernel_size=(1,), stride=(1,))
)
Epoch:54, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:55, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:56, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:57, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:58, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:59, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:60, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:61, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:62, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:63, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:64, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:65, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:66, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:67, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:68, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:69, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:70, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:71, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:72, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:73, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:74, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:75, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:76, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
