cuda:0
Namespace(withAug=True, AugDirect=20, method_name='GIN', seed=100, IsDirectedData=True, dataset='WikipediaNetwork/chameleon', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
dataset is  WikipediaNetwork
Dataset is  WikipediaNetwork() 
Chosen from DirectedData:  True
Num of bidrected edges: 4680, total num of edges: 36101
This is directed graph:  True
data_x torch.Size([2277, 2325])
cuda:0
splits 10
0
cuda:0
Time consumed in this epoch:  8.679649829864502
Time consumed in this epoch:  8.90861701965332
Time consumed in this epoch:  8.85801076889038
Time consumed in this epoch:  8.183581113815308
Time consumed in this epoch:  7.8276238441467285
Time consumed in this epoch:  7.9010233879089355
Time consumed in this epoch:  8.660339117050171
Time consumed in this epoch:  8.319013595581055
Time consumed in this epoch:  8.091696739196777
Time consumed in this epoch:  7.701951265335083
Time consumed in this epoch:  8.656958103179932
Time consumed in this epoch:  7.797503471374512
Time consumed in this epoch:  6.975952625274658
Time consumed in this epoch:  7.866724014282227
Time consumed in this epoch:  8.787054300308228
Time consumed in this epoch:  7.909826755523682
Time consumed in this epoch:  7.594587087631226
Time consumed in this epoch:  8.098117113113403
Time consumed in this epoch:  7.321778059005737
Time consumed in this epoch:  8.102925539016724
Time consumed in this epoch:  6.879383087158203
Time consumed in this epoch:  7.44614315032959
Time consumed in this epoch:  7.332073211669922
Time consumed in this epoch:  7.076651573181152
Time consumed in this epoch:  7.902765989303589
Time consumed in this epoch:  6.9169840812683105
Time consumed in this epoch:  8.960322141647339
Time consumed in this epoch:  9.330170631408691
Time consumed in this epoch:  8.492257118225098
Time consumed in this epoch:  8.438456058502197
Time consumed in this epoch:  9.227333307266235
Time consumed in this epoch:  10.366050958633423
Time consumed in this epoch:  7.320011138916016
Time consumed in this epoch:  6.672736883163452
Time consumed in this epoch:  8.970134019851685
Time consumed in this epoch:  7.722846984863281
Time consumed in this epoch:  7.380082368850708
Time consumed in this epoch:  8.018275260925293
Time consumed in this epoch:  8.126893043518066
Time consumed in this epoch:  8.69009518623352
Time consumed in this epoch:  8.69634747505188
Time consumed in this epoch:  8.033934831619263
Time consumed in this epoch:  8.514873266220093
Time consumed in this epoch:  8.432320594787598
Time consumed in this epoch:  8.141633987426758
Time consumed in this epoch:  7.064401149749756
Time consumed in this epoch:  7.61583685874939
Time consumed in this epoch:  8.097240209579468
Time consumed in this epoch:  7.403330326080322
Time consumed in this epoch:  6.787392616271973
Time consumed in this epoch:  9.480610370635986
Time consumed in this epoch:  8.652905225753784
Time consumed in this epoch:  7.4654316902160645
Time consumed in this epoch:  9.585229396820068
Time consumed in this epoch:  8.968421936035156
Time consumed in this epoch:  6.622490406036377
Time consumed in this epoch:  9.010109901428223
Time consumed in this epoch:  10.12842583656311
Time consumed in this epoch:  8.00710129737854
Time consumed in this epoch:  7.549611330032349
Time consumed in this epoch:  7.8000006675720215
Time consumed in this epoch:  6.52752685546875
Time consumed in this epoch:  7.965907573699951
Time consumed in this epoch:  9.012619256973267
Time consumed in this epoch:  7.833797216415405
Time consumed in this epoch:  8.901846170425415
Time consumed in this epoch:  8.631227970123291
Time consumed in this epoch:  8.331108331680298
Time consumed in this epoch:  7.875020980834961
Time consumed in this epoch:  8.285102128982544
Time consumed in this epoch:  6.49764609336853
Time consumed in this epoch:  8.126271724700928
Time consumed in this epoch:  9.03540563583374
Time consumed in this epoch:  9.423231601715088
Time consumed in this epoch:  9.064120531082153
Time consumed in this epoch:  7.9266517162323
Time consumed in this epoch:  9.11738395690918
Time consumed in this epoch:  9.156562805175781
Time consumed in this epoch:  7.600229740142822
Time consumed in this epoch:  7.2079126834869385
Time consumed in this epoch:  9.017857313156128
Time consumed in this epoch:  8.870986700057983
Time consumed in this epoch:  7.896848440170288
Time consumed in this epoch:  7.912674903869629
Time consumed in this epoch:  9.620371580123901
Time consumed in this epoch:  8.11323857307434
Time consumed in this epoch:  6.803597450256348
Time consumed in this epoch:  7.860638380050659
Time consumed in this epoch:  9.655734062194824
Time consumed in this epoch:  8.009829044342041
Time consumed in this epoch:  9.127278804779053
Time consumed in this epoch:  8.234082221984863
Time consumed in this epoch:  9.637564659118652
Time consumed in this epoch:  8.14355206489563
Time consumed in this epoch:  7.438695907592773
Time consumed in this epoch:  7.922659635543823
Time consumed in this epoch:  7.261104106903076
Time consumed in this epoch:  7.433604001998901
Time consumed in this epoch:  8.337303638458252
Time consumed in this epoch:  7.432481050491333
Time consumed in this epoch:  7.1315226554870605
Time consumed in this epoch:  8.523520946502686
Time consumed in this epoch:  8.407848119735718
Time consumed in this epoch:  8.607804775238037
Time consumed in this epoch:  10.20891284942627
Time consumed in this epoch:  7.777284383773804
Time consumed in this epoch:  7.698424339294434
Time consumed in this epoch:  8.768072843551636
Time consumed in this epoch:  6.575129270553589
Time consumed in this epoch:  7.457963228225708
Time consumed in this epoch:  6.715397357940674
Time consumed in this epoch:  7.549118280410767
Time consumed in this epoch:  7.9285383224487305
Time consumed in this epoch:  8.372667074203491
Time consumed in this epoch:  9.606934309005737
Time consumed in this epoch:  6.623011350631714
Time consumed in this epoch:  9.506611108779907
Time consumed in this epoch:  9.09090781211853
Time consumed in this epoch:  7.5262041091918945
Time consumed in this epoch:  7.680133104324341
Time consumed in this epoch:  6.966411590576172
Time consumed in this epoch:  7.6443870067596436
Time consumed in this epoch:  7.880841493606567
Time consumed in this epoch:  8.168145656585693
Time consumed in this epoch:  7.942758798599243
Time consumed in this epoch:  7.1264402866363525
Time consumed in this epoch:  9.133219957351685
Time consumed in this epoch:  7.389469385147095
Time consumed in this epoch:  7.325285911560059
Time consumed in this epoch:  6.858095407485962
Time consumed in this epoch:  8.88899850845337
Time consumed in this epoch:  7.5014708042144775
Time consumed in this epoch:  6.906404256820679
Time consumed in this epoch:  7.91320276260376
Time consumed in this epoch:  7.8644773960113525
Time consumed in this epoch:  7.634128570556641
Time consumed in this epoch:  8.294416427612305
Time consumed in this epoch:  8.123766660690308
Time consumed in this epoch:  8.139246940612793
Time consumed in this epoch:  6.548549652099609
Time consumed in this epoch:  8.031554937362671
Time consumed in this epoch:  8.741953372955322
Time consumed in this epoch:  9.23253059387207
Time consumed in this epoch:  8.051626443862915
Time consumed in this epoch:  8.473597288131714
Time consumed in this epoch:  8.1277756690979
Time consumed in this epoch:  8.905630588531494
Time consumed in this epoch:  8.801145076751709
Time consumed in this epoch:  8.50576138496399
Time consumed in this epoch:  9.379019260406494
Time consumed in this epoch:  8.238027095794678
Time consumed in this epoch:  8.477294445037842
Time consumed in this epoch:  7.459636449813843
Time consumed in this epoch:  6.994789361953735
Time consumed in this epoch:  6.748825788497925
Time consumed in this epoch:  8.900702953338623
Time consumed in this epoch:  8.201425552368164
Time consumed in this epoch:  8.093708753585815
Time consumed in this epoch:  7.504259347915649
Time consumed in this epoch:  8.831295251846313
Time consumed in this epoch:  8.828625440597534
Time consumed in this epoch:  7.711912155151367
Time consumed in this epoch:  7.398663520812988
Time consumed in this epoch:  7.411715030670166
Time consumed in this epoch:  8.622411012649536
Time consumed in this epoch:  7.566227912902832
Time consumed in this epoch:  7.698011636734009
Time consumed in this epoch:  8.110145807266235
Time consumed in this epoch:  8.266979694366455
Time consumed in this epoch:  8.689656019210815
Time consumed in this epoch:  7.599562168121338
Time consumed in this epoch:  6.697411060333252
Time consumed in this epoch:  8.919331312179565
Time consumed in this epoch:  6.386007785797119
Time consumed in this epoch:  8.018850088119507
Time consumed in this epoch:  9.38880181312561
Time consumed in this epoch:  8.506433725357056
Time consumed in this epoch:  7.323977947235107
Time consumed in this epoch:  7.8346569538116455
Time consumed in this epoch:  6.63782525062561
Time consumed in this epoch:  7.829502820968628
Time consumed in this epoch:  9.209133863449097
Time consumed in this epoch:  9.027000188827515
Time consumed in this epoch:  9.092630624771118
Time consumed in this epoch:  7.103333234786987
Time consumed in this epoch:  8.257017374038696
Time consumed in this epoch:  9.249365091323853
Time consumed in this epoch:  6.196053981781006
Time consumed in this epoch:  7.4417078495025635
Time consumed in this epoch:  8.090120077133179
Time consumed in this epoch:  7.8391594886779785
Time consumed in this epoch:  7.777129411697388
Time consumed in this epoch:  8.826083660125732
Time consumed in this epoch:  8.91199541091919
Time consumed in this epoch:  8.455660343170166
Time consumed in this epoch:  8.310064554214478
Time consumed in this epoch:  6.075643539428711
Time consumed in this epoch:  9.232580184936523
Time consumed in this epoch:  8.330927848815918
Time consumed in this epoch:  7.74299168586731
Time consumed in this epoch:  6.62315559387207
Time consumed in this epoch:  7.977308988571167
Time consumed in this epoch:  7.617877721786499
Time consumed in this epoch:  7.2919981479644775
Time consumed in this epoch:  8.209376573562622
Time consumed in this epoch:  8.949320793151855
Time consumed in this epoch:  8.873602867126465
Time consumed in this epoch:  8.867087364196777
Time consumed in this epoch:  6.637602090835571
Time consumed in this epoch:  8.201482057571411
Time consumed in this epoch:  7.859538793563843
Time consumed in this epoch:  7.615134954452515
Time consumed in this epoch:  6.725622653961182
Time consumed in this epoch:  7.968225955963135
Time consumed in this epoch:  7.653589963912964
Time consumed in this epoch:  7.358413934707642
Time consumed in this epoch:  9.363697290420532
Time consumed in this epoch:  9.159701347351074
Time consumed in this epoch:  7.877665758132935
Time consumed in this epoch:  6.984957218170166
Time consumed in this epoch:  8.657011032104492
Time consumed in this epoch:  7.708376169204712
Time consumed in this epoch:  9.25962519645691
Time consumed in this epoch:  9.022722721099854
Time consumed in this epoch:  8.893624305725098
Time consumed in this epoch:  8.412994861602783
Time consumed in this epoch:  6.443352699279785
Time consumed in this epoch:  8.615489721298218
Time consumed in this epoch:  8.261754989624023
Time consumed in this epoch:  7.983703136444092
Time consumed in this epoch:  8.974184513092041
Time consumed in this epoch:  6.533443927764893
Time consumed in this epoch:  7.374936819076538
Time consumed in this epoch:  8.525893926620483
Time consumed in this epoch:  7.955132961273193
Time consumed in this epoch:  8.909229040145874
Time consumed in this epoch:  8.419605016708374
Time consumed in this epoch:  7.123540639877319
Time consumed in this epoch:  7.541025161743164
Time consumed in this epoch:  7.277143478393555
Time consumed in this epoch:  8.231284618377686
Time consumed in this epoch:  9.230531454086304
Time consumed in this epoch:  8.251306772232056
Time consumed in this epoch:  8.872963905334473
Time consumed in this epoch:  7.000483512878418
Time consumed in this epoch:  8.600953340530396
Time consumed in this epoch:  8.771507740020752
Time consumed in this epoch:  6.849435329437256
Time consumed in this epoch:  7.3038575649261475
Time consumed in this epoch:  8.120481729507446
Time consumed in this epoch:  5.9489946365356445
Time consumed in this epoch:  9.609784841537476
Time consumed in this epoch:  8.315062761306763
Time consumed in this epoch:  6.417112350463867
Time consumed in this epoch:  6.828660726547241
Time consumed in this epoch:  8.155734539031982
Time consumed in this epoch:  7.748181581497192
Time consumed in this epoch:  7.854522705078125
Time consumed in this epoch:  8.506454229354858
Time consumed in this epoch:  8.293280124664307
Time consumed in this epoch:  8.689685106277466
Time consumed in this epoch:  8.43234896659851
Time consumed in this epoch:  7.591859817504883
Time consumed in this epoch:  7.226855993270874
Time consumed in this epoch:  8.467608451843262
Time consumed in this epoch:  9.160535097122192
Time consumed in this epoch:  8.983171224594116
Time consumed in this epoch:  7.848779678344727
Time consumed in this epoch:  7.397880792617798
Time consumed in this epoch:  5.65028715133667
Time consumed in this epoch:  8.86961030960083
Time consumed in this epoch:  9.125560760498047
Time consumed in this epoch:  8.4612455368042
Time consumed in this epoch:  6.302780628204346
Time consumed in this epoch:  8.362305164337158
Time consumed in this epoch:  7.7928290367126465
Time consumed in this epoch:  6.977355480194092
Time consumed in this epoch:  8.091978549957275
Time consumed in this epoch:  6.7051098346710205
Time consumed in this epoch:  8.277128219604492
Time consumed in this epoch:  8.545372724533081
Time consumed in this epoch:  8.0731360912323
Time consumed in this epoch:  6.987828016281128
Time consumed in this epoch:  6.618688583374023
Time consumed in this epoch:  7.673561334609985
Time consumed in this epoch:  7.624917507171631
Time consumed in this epoch:  5.536226272583008
Time consumed in this epoch:  8.55075454711914
Time consumed in this epoch:  8.889208555221558
Time consumed in this epoch:  7.569406986236572
Time consumed in this epoch:  9.686273097991943
Time consumed in this epoch:  7.29762864112854
Time consumed in this epoch:  9.180942296981812
Time consumed in this epoch:  8.194653987884521
Time consumed in this epoch:  6.848809480667114
Time consumed in this epoch:  7.632300615310669
