Namespace(withAug=True, AugDirect=20, method_name='Cheb', seed=100, GPUdevice=1, IsDirectedData=False, dataset='cora_ml/', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
CUDA Device Index: 1
excel_file_path is  TrueAug_Cheb_CiteSeer_output.xlsx
12-19-22:45:31
Dataset is  CiteSeer() 
Chosen from DirectedData:  False
Num of bidrected edges: 4552, total num of edges: 9104
This is directed graph:  False
data_x torch.Size([3327, 3703])
split:  0
ChebModelBen(
  (conv1): ChebConv(3703, 2, K=2, normalization=sym)
  (conv2): ChebConv(2, 2, K=2, normalization=sym)
  (Conv): Conv1d(2, 6, kernel_size=(1,), stride=(1,))
)
Epoch:70, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:71, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:72, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:73, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:74, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:75, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:76, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:77, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:78, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:79, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:80, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:81, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:82, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:83, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:84, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:85, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
Epoch:86, test_Acc: 34.50, test_bacc: 29.79, test_f1: 18.32
